text,label
แฟนแมนยูเหมือนกันครับที่ทำงานมีแต่เด็กหงษ์ ผมเลยดื่มแสงโสมอย่างเดียว555,0.0
ใครจะใจดีขนาดนั้นเพ้อเจ้อ,0.0
กอฟเลี้ยง เย้ๆๆ,0.0
แสงโสม ลีโอ โซดา 55555,0.0
เคร จัดให้ รำลึกวัยเด็กที่ผ่านมา 30 กว่าปีแล้วชิมิ,0.0
ออกนิสสัน นาวาร่า วันนี้แถมประกันชั้น 1 ดาว 0% เลยจ้า,0.0
พรุ่งนี้จะไปกิน เห็นแล้วแซ่บ,0.0
เนี่ยๆ อยากกินนนนน,0.0
สวอชสีชัดๆ กับ 4U2 Love Me More Summer Collection☀️ โทนสีตั้งแต่ชมพู ส้ม นู้ด น้ำตาลบ่มแดด เป็นเนื้อ Matte และ Shimmer อย่างละ 2 สีนะค้า😍,0.0
ไปเติมเต็มคำว่าเพื่อนที่คอนนี้กันนน 🎉,0.0
เคยขึ้นแท็กซี่หน้าหอไปกระทรวงพาณิชย์ เขาถามว่า ธุระที่ทำนี่นานมั้ย ถ้าไม่นาน ผมจะรอ น้าแกจะอยู่แดนรังสิตอย่างเดียวเลย,0.0
ที่จริงกระทรวงมันน่าจะบอกไปเลย กรองทิพย์ ขายปลีกอยู่ที่.. หงษ์ทอง ขายปลีกอยู่ที่..,0.0
ลอรีอัลจะดันรีวิวครีมหนักไปละ รกฟี้ดชห แต่ก่อนที่ทวิตเตอร์ยังไม่มีคนรับรีวิวเยอะขนาดนี้มันสบายตาว่านี้เยอะ,0.0
ซื้อแจสขับดีก่าแบบนั้ย,0.0
ไข่เจียวไปก่อนน,0.0
ใจเย็นๆ5555,0.0
หมูเหนื่อย,0.0
กูคงไม่เหมาะกับแสงโสมจริงๆ จะมากจะน้อยกินทีไรปวดหัวทุกที,0.0
บทเรียนวันนี้คือเหล้าผสมสปายเป็นอะไรที่ไม่อร่อยที่สุดในโลก เมนส์มาตอนมาเที่ยวว่าเซ็งแล้ว เอาผ้าอนามัยแบบเย็นมาใส่ตอนอากาศ4องศาคือสุด,0.0
