text,label
ที่แพลนไว้คือ tarte พาเลทใหม่ใช่ไหม !,0.0
อันนี้อ่าใช้ดี ลดกลิ่น เย้นกว่าคูลโซฟีอีก,0.0
ฟอจูนเนอร์ ปาเจโจ่ เอเวอร์เรส ยังดูหรูกว่า 5555,0.0
ได้น้องแล้วค่ะ ตัวแน่นมากกกกก😣💓💓,0.0
พ่อมึงตายเหรอ ร้องไห้อะ,0.0
เราพัฒนาถอยหลัง ครับ ไม่ใช่พัฒนาเดินนา,0.0
"“ พอดูคอนเสิร์ตเสร็จอ่ะ มึงแยกตัวออกไปเลยนะ ”

“ ทำไมวะ ”

“ กูจะสารภาพรักกับกอนยอบว่ะ ”",0.0
อ๋อย! แย่จุง!!,0.0
จะไม่กินบาบิก้อน กลัวอ่ะ,0.0
Hot สุด ณ ชั่วโมงนี้ ต้องยกให้ Toyota C-HR เรามาดูกันดีกว่าว่า ครอสโอเวอร์น้องใหม่ผู้นี้ มีทีเด็ดอะไรที่ซ่อนอยู่บ้าง,0.0
ไม่เคยกินบาบิก้อนเลย ปิ้งย่างมากสุดก็ย่างเนยค่ะ เป็นคนขี้เกียจ 55555,0.0
แพ้ยีสต์ เอสเคทูคงไม่ซื้อ,0.0
ตอนเย็นลานเบียร์ลีโอไหมครับFC,0.0
ค่อยยังชั่ว แค่ฝีเองแกรรร🤢,0.0
ผมพาหนูบูว ไปกินมาแย้ว,0.0
หอมครับตัวนี้ 7มีขาย,0.0
เหลือมึงกะกูเนี่ย ก่อน5โมงเย็น เพราะว่าไปตีแบดสีคิ้ว,0.0
อด 555 มันต้องใช้บัตรเครดิตจ่สยถึงจะได้กินเปิดในราคา108,0.0
Cateเคยให้สัมว่าตนเคยให้น้ำหอมกับพนักงานขับแท็กซี่คนนึงที่ลอนดอนด้วย เพราะเค้าถามว่าใช้น้ำหอมอะไรผมจะซื้อไปให้ภรรยาในวันเกิด เคทรู้สึกเอ็นดูเลยยกขวดให้ไปเลยทั้งๆที่ตัวเองก็มีแค่ขวดเดียว และคงหาซื้อแทบจะยากเพราะเป็นรุ่น exclusive นานมาแล้วแต่ย้อนกลับมาเล่าก็โคตรจะน่ารัก 💕,0.0
เอิ่มม. ดีเซล ช่วงนี้มีแต่คนแนะนำว่าถ้ารักมาสด้าให้ใช้เบนซินดีกว่า,0.0
พี่เลเลี้ยง,0.0
ต้องลองให้ลอรีเอะ ซอฟท์ แอนด์ เซฟ เมื่อวันนั้นของเดือนมาถึง จะนอนท่าไหนก็ได้เลย ;),0.0
ยอมแล้ว ขอน้าพลีสสสส🙏🏻🙏🏻,0.0
M 11 พวงชมพู M 12 สุพรรณิการ์ S 11 หางนกยูง S 12 กัลปพฤกษ์ เป็นชื่อดอกไม้ทั้งหมดที่มีสีใกล้เคียงกับบลัชออนของ 4U2 ❤️❤️❤️❤️😚,0.0
สนใจนาวาร่า 4 ประตู ออโต้ ออกรถใช้เงินเท่าไหร่,0.0
แม่หญิงใช้อายไลน์เนอร์ มิสทีน รุ่น ซุปเปอร์ แบล็ค ฟิคซ์ อายไลน์เนอร์ กรีดตาให้สวยงามเฉียบคมทั่วพระนครเจ้าค่ะ ข้าอยากลองใช้บ้างเจ้าค่ะ เพราะ ใช้ยี่ห้ออื่นๆมา ทำให้ขอบตาข้าดำอย่างกับแพนด้าแถมติดไม่ทนนานเขียนอะไรก็เยิ้มเป็นหมีแพนด้า เห็นแม่นางเขียนแล้วง่ายจัง สีชัดมากค่ะ และ อยากสวยเหมือนแม่นางด้วยเจ้าค่ะ ถึงกับสมัครสมาชิกมิสทีนเลยทีเดียวค่ะ,0.0
ไม่กินคือไม่กินจริงๆอ่ะ ไม่ได้แอ๊บ เคยลองกินแล้วมึนมากปวดหัวมาก ขมเหม็น เอาง่ายๆแค่สปายก็เมาอ่ะ เลยไม่กินแม่ง หันมากินน้ำอัดลมอย่างจริงจังแทน 5555,0.0
จองรีโว่สักคันได้ก่อคับขอเกียร์ออโต้น่ะคับขอราคารุ่นอีออโต้คับ,0.0
เอาไป 100 ใช้ให้หมดน่ะ,0.0
บ่พอค่าหวยส่ำ อิอิอิ,0.0
ลำไย หลังปีใหม่กะได้,0.0
วันนี้จะกินเบียร์สิงห์,0.0
