text,label
ขณะสนทนา คุณหันหน้า และโน้มตัวไปยังคู่สนทนาอย่างเหมาะสม ขณะที่คุณออกมารายงานหน้าชั้น คุณออกไปพูดด้วยความสบายใจปราศจากความกังวล,1.0
May แอนส์แบชเชอร์ Ansbacher 1990 และมีอิทธิพลพอสมควรต่อผลการทดลองจูเลียน ร้อตเตอร์ Jullian Rotter นอกจากคุณประโยชน์ซึ่งมีมากพอสมควรแล้ว ทฤษฎีของแอ็ดเลอร์ยังมุ่งสนใจปรากฏการณ์ซึ่งสอดคล้องกับสังคมสมัยใหม่เป็นอย่างยิ่ง ยกตัวอย่างเช่น เขาได้พูดถึงการ,1.0
ของประธานาธิบดีมิคาอิล กอร์บาชอฟ เตือนคนอเมริกันว่า เรากำลังทำสิ่งที่เลวร้ายอย่างยิ่งกับพวกคุณ  เรากำลังทำให้คุณไม่มีศัตรู จากนั้นฮันติงตันก็กล่าวเสริมต่อไปว่า ไม่เพียงแต่อเมริกาเท่านั้นที่ปราศจากศัตรูหลังการล่มสลายของสหภาพโซเวียต แต่ส่งผลกระทบ,1.0
ไม่รู้จักสุดสิ้นคือ วินัยคุณ ความประพฤติ เคารพคุณ ความสุภาพ ศรุตคุณ ความรู้ ศมคุณ ความทน กษมาคุณ ความเพียร ไธรยคุณ ความกล้าหาญ ตยาคคุณ ความบริจาค ทยุติคุณ ความสง่า มติคุณ ความฉลาด,1.0
ระยะยาวยาวเช่น 8 ปี 9 ปี 20 ปีไม่มี เนื่องจากเป็นไปไม่ได้หรือว่าไม่มีเองคะ เป็นไปได้ แต่ว่าสิ่งเหล่านี้ต้องเกิดจากการพูดคุยที่เป็นเรื่องเป็นราวหน่อย ที่ผ่านมาเรามีแผนระยะปานกลาง ก็คือแผน 5 ปี,1.0
ผมเชียร์พรรคประชาธิปัตย์มาตั้งนานแล้ว และก็ยังเชียร์อยู่ห่างๆนะครับ เพราะสมัยก่อน พรรคประชาธิปัตย์เป็นฝ่ายค้าน การเมืองอยู่ในมือผู้มีอำนาจทางราชการ ทหารและพลเรือน,1.0
ในตัวหมา มี ก็ฉีดยาหรือจับหมัดมาบี้ซะ อย่าฆ่าหมาทั้งตัว นี่ก็คือข้อเสนอในการปฏิรูปทางการเมืองไทยของผม ในฐานะที่เป็นคนไทยคนหนึ่ง คือ ประชาธิปไตยก็เหมือนหมาที่มีหมัดมาเกาะกินเลือด หมาเองอย่าให้หมัดเล็ดลอดมา,1.0
ก่อนหน้านี้ถ้าผมผิด ผมจะหาข้อแก้ตัวหรือปิดบังความผิด แต่ผลปรากฏว่ากลับทำความยุ่งยากและเป็นปัญหายิ่งขึ้น ผมจึงคิดว่าจะยอมรับผิดและแก้ไขดีกว่า การกระทำของเราย่อมมีทั้งดีและไม่ดี ผิดและถูก ไม่มีใครจะทำ,1.0
ด้านคุณชาติชายเมื่อทราบตัวเลขค่าเฉลี่ยหนังไทยที่คนไทยไปชม 18 เรื่องต่อคน ต่อปี แสดงความคิดเห็นเช่นเดียวกับคุณชัยวัฒน์,1.0
สาขาโรบินสันฉะเชิงเทรามีส่งไหมครับ,1.0
