text,label
จิตเป็นผู้บงการทุกอย่าง แม้กายจะตายไปแล้ว จิตจะยังคงอยู่ เขากล่าวว่า ทันทีที่ชีวิตผมจากไป ผมก็จะกลับมาอีก และเขาก็คิดว่า ถ้าเขามีอำนาจหรือเทคโอเวอร์กิจการทั้งหมดของพรหมินทร์แล้ว เขาจะปลดปล่อยคนโคลนที่,1.0
ตกหลุมรักที่มันได้ไว้โดยโลกใต้น้ำนั่นเองโดยตัวผมเองรู้สึกว่ามีความผูกพันกับมันมากกว่าชีวิตชาวน้ำในวัยเยาว์ที่ผมเคยสัมผัสมาและทำให้ตัวเองคิดว่าถ้ามีโอกาสและเวลาที่เหมาะสมผมต้องออกค้นหาและสัมผัสโลกใต้น้ำที่งดงามอย่างนี้อีกแน่นอนเพราะว่า,1.0
คุณบอกบุคคลอื่นเกี่ยวกับข่าวดีของคุณด้วยความภูมิใจ คุณอยากบอกกับเพื่อน ๆ ว่าคุณได้คะแนนสูงในการสอบ แต่ไม่กล้าเพราะเกรงจะเป็นการโอ้อวด,1.0
ได้คับ,1.0
จะไปถึงห้องเรียนช้า คุณจะเข้าไปนั่งข้างหน้า ถ้ามีที่ว่างโดยไม่ประหม่า ถ้าคุณเลือกที่นั่งในห้องบรรยายได้ คุณจะนั่งตรงเสา เพื่อจะได้หลบเสาเมื่ออาจารย์ถาม คุณแสดงสีหน้าได้สอดคล้องกับเรื่องราวต่าง ๆ ที่เล่าหรือเหตุการณ์ต่าง,1.0
ผู้ให้บริการปรึกษา บูรพา คุณจำได้ไหมว่าพ่อแม่เคยพูดกับคุณอย่าไรบ้าง เมื่อตอนที่คุณยังเป็นเด็ก บูรพา พ่อตายตั้งแต่ผมยังเล็กมาก ดังนั้นผมจึงไม่รู้จักพ่อ แม่รู้สึกว่าผมเป็นภาระอันหนัก อึ้งของแม่ แม่มี,1.0
"Civic ทุกรุ่นใช้ระบบกันสะเทือนหน้าแบบคอยล์สปริง ด้านหลังทอร์ชั่นบาร์พร้อมคอยล์สปริง เครื่องยนต์ยังคงใช้รหัส D และเพิ่มรุ่นใหม่ 1,500 ซีซี CVCC โดยในปี 1984 ได้เพิ่มรุ่นแรงรหัส Si สำหรับทำตลาดญี่ปุ่น ปรับปรุงระบบกันสะเทือน และใช้เครื่องยนต์ DOHC ZC ความจุ 1,600 ซีซี กำลังสูงสุด 130 แรงม้า ส่วนรุ่นที่ทำตลาดในสหรัฐอเมริกาในชื่อ Civic Si 3 ประตู และ CRX Si ใช้เครื่องยนต์หัวฉีด 12 วาล์ว กำลังสูงสุด 91 แรงม้า เดือนพฤศจิกายน 1984 ฮอนด้าเพิ่มระบบขับเคลื่อน 4 ล้อให้ Civic เป็นครั้งแรกในรุ่น Shuttle ช่วงแรกมีปุ่มกดสำหรับเข้า-ออกจากระบบขับเคลื่อน 4 ล้อที่เรียกว่า ""Realtime"" เพราะสามารถทำได้ขณะรถวิ่ง จากนั้นในเดือนกุมภาพันธ์ 1985 จึงเพิ่มรุ่น Quint Integra ตัวถังแฮทช์แบ็ก 3 ประตู ฐานล้อ 2,450 มิลลิเมตร และในเดือนพฤศจิกายน 1986 เพิ่มรุ่น 5 ประตูแฮทช์แบค พร้อมขยายขนาดฐานล้อเป็น 2,520 มม.",1.0
สงสัยเหมือนกัน ลงครบ 5000 มันก็บอกให้ลงเพิ่มเป็น 15000 งี้ ลงครบเป็น 15000 ไม่เพิ่มเป็น 50000 เลยหรอครับ,1.0
ทรงผม ควรจัดแต่งให้เข้ารูปอยู่เสมอ การใช้ทรงผมพิศดารนั้นไม่ใช่สิ่งสมควร เว้นแต่จะไปงานราตรี ควรใช้ทรงผมที่สามารถหวีแต่งเองได้สดวกและสวยงาม,1.0
ใน 4 จังหวัดภาคใต้ เช้าขึ้นมาเรียนที่โรงเรียนโต๊ะครู สายก็มาโรงเรียนภาคบังคับ ที่ยะรังมีเด็กหญิงต้องมาเรียนโรงเรียนที่ผมสอน ปรากฏไม่มีมาเลย ผมสืบได้ความว่าครูไปรับเงินผู้ปกครอง ไม่อยากนำเด็กเข้าเรียน เพราะเขาไม่นิยม,1.0
